
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-16 18:12:43 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:12:44 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:12:45 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:12:46 /api/auth/me ....................................................................... ~ 509.28ms
  2026-03-16 18:12:47 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:29 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:30 /api/system/compression-status ..................................................... ~ 512.84ms
  2026-03-16 18:15:30 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:31 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:15:31 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:33 /api/auth/me ....................................................................... ~ 512.52ms
  2026-03-16 18:15:37 /api/auth/me ....................................................................... ~ 513.19ms
  2026-03-16 18:15:37 /api/documents ........................................................................... ~ 1s
  2026-03-16 18:15:37 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 18:15:38 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:15:39 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:40 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:15:41 /api/auth/me ............................................................................. ~ 2s
  2026-03-16 18:15:42 /api/auth/me ....................................................................... ~ 508.33ms
  2026-03-16 18:15:48 /api/auth/me ....................................................................... ~ 514.10ms
  2026-03-16 18:15:48 /api/documents ........................................................................... ~ 1s
  2026-03-16 18:15:48 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 18:15:49 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:15:50 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:51 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:15:51 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:15:53 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:16:01 /api/documents/check-code .......................................................... ~ 514.93ms
  2026-03-16 18:16:01 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 18:16:04 /api/documents/check-code .......................................................... ~ 513.21ms
  2026-03-16 18:16:05 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 18:16:06 /api/upload .............................................................................. ~ 2s
  2026-03-16 18:16:08 /api/documents/qr/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ................................. ~ 511.94ms
  2026-03-16 18:16:08 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:16:08 /api/documents/qr/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ....................................... ~ 2s
  2026-03-16 18:16:09 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:16:10 /api/documents/qr/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ....................................... ~ 1s
  2026-03-16 18:16:12 /api/files/pdf-original/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ........................... ~ 505.25ms
  2026-03-16 18:16:13 /api/files/pdf-original/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ................................. ~ 1s
  2026-03-16 18:16:14 /api/files/qr/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ..................................... ~ 502.84ms
  2026-03-16 18:16:25 /api/embed ............................................................................... ~ 1s
  2026-03-16 18:16:26 /api/documents/qr/6n9Obk5yC83ehWHBeYXlemGNJfQTAMLM ....................................... ~ 1s
