
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-16 17:00:21 /api/auth/me ....................................................................... ~ 504.50ms
  2026-03-16 17:00:22 /api/documents/stats ............................................................... ~ 502.80ms
  2026-03-16 17:00:22 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:22 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:00:23 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:23 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:00:24 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:00:25 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:00:30 /api/system/compression-status ..................................................... ~ 506.91ms
  2026-03-16 17:00:31 /api/system/compression-status ..................................................... ~ 511.55ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-03-16 17:03:22 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:45 /api/auth/login .................................................................... ~ 516.11ms
  2026-03-16 17:04:45 /api/auth/login .......................................................................... ~ 1s
  2026-03-16 17:04:47 /api/auth/me ....................................................................... ~ 509.86ms
  2026-03-16 17:04:48 /api/documents/stats ............................................................... ~ 515.21ms
  2026-03-16 17:04:48 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:48 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:04:49 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:49 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:04:50 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:51 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:04:52 /api/auth/me ....................................................................... ~ 513.56ms
  2026-03-16 17:04:53 /api/auth/me ....................................................................... ~ 501.60ms
  2026-03-16 17:04:53 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:04:53 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:54 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:04:54 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:55 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:56 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:04:56 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:57 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:04:58 /api/auth/me ............................................................................. ~ 1s
